precision,comparator,period,variable,scope,cluster,n_supports,weighted_mean_support_rmse,weighted_pooled_hourly_rmse,weighted_median_support_rmse,weighted_p95_support_rmse,observed_maximum_support_rmse,unweighted_mean_support_rmse
precision1,assigned_class_medoid,winter_day,dry_bulb_temperature,class,0.0,15,0.039713670356026,0.0410671811078498,0.0394560078666931,0.054090888103489,0.054090888103489,0.0399711892199361
precision1,assigned_class_medoid,winter_day,dry_bulb_temperature,class,1.0,15,0.0381419720879677,0.0401353877103364,0.0377964473009227,0.0573770384572482,0.0784464540552736,0.0424812529063196
precision1,assigned_class_medoid,winter_day,dry_bulb_temperature,class,2.0,15,0.0436628813412684,0.0478330894433628,0.0361240232386296,0.0930998518665976,0.0930998518665976,0.0463293906859068
precision1,assigned_class_medoid,winter_day,dry_bulb_temperature,class,3.0,15,0.0373045051982276,0.0387414992618343,0.0336296354567274,0.053921323773709,0.0629334784564043,0.0402636763998826
precision1,assigned_class_medoid,winter_day,dry_bulb_temperature,class,4.0,15,0.0416531257836733,0.0429673053163593,0.0414923091863024,0.058912613001767,0.0661610865788144,0.043849401776159
precision1,assigned_class_medoid,winter_day,dry_bulb_temperature,class,5.0,15,0.0437467888837471,0.0474023034000918,0.0501371744690131,0.0675649192630192,0.1021069252099198,0.0487148586566861
precision1,assigned_class_medoid,winter_day,dry_bulb_temperature,class,6.0,15,0.0988935821787451,0.1131603032373812,0.0918122387238606,0.2630303816766833,0.2630303816766833,0.0969193087790354
precision1,assigned_class_medoid,winter_day,relative_humidity,citywide_nonmedoid,,105,0.1289764779895668,0.1593928573193119,0.1165161247467805,0.2721758077597461,1.1007261173189202,0.1691123342875482
precision1,assigned_class_medoid,winter_day,relative_humidity,class,0.0,15,0.1226537575986185,0.13150663940832,0.1216680465574818,0.1989210825166529,0.1989210825166529,0.123532590260142
precision1,assigned_class_medoid,winter_day,relative_humidity,class,1.0,15,0.1266062742615067,0.1388557028400587,0.1274036301746736,0.2152602990265421,0.327011946550601,0.1474519442857125
precision1,assigned_class_medoid,winter_day,relative_humidity,class,2.0,15,0.1391327061246303,0.1681767505619408,0.1015222958604489,0.374972526466134,0.374972526466134,0.1507284275264751
precision1,assigned_class_medoid,winter_day,relative_humidity,class,3.0,15,0.0948832771397622,0.103950164284109,0.0912870929175279,0.1879009754013441,0.2083644665382053,0.10522066571149
precision1,assigned_class_medoid,winter_day,relative_humidity,class,4.0,15,0.1082828981037827,0.1155379325591205,0.0976369142945791,0.1832750490103429,0.216300056138953,0.116756924433952
precision1,assigned_class_medoid,winter_day,relative_humidity,class,5.0,15,0.1274824413979037,0.1468381338540017,0.1319583406344733,0.2265362693227761,0.4384820218851438,0.1519776527263179
precision1,assigned_class_medoid,winter_day,relative_humidity,class,6.0,15,0.3986627561490736,0.4702379870679671,0.3805661389043777,1.1007261173189202,1.1007261173189202,0.388118135068748
precision1,assigned_class_medoid,winter_night,dry_bulb_temperature,citywide_nonmedoid,,105,0.0599150209490201,0.0702829107641938,0.0571771874896865,0.1073319454782522,0.4702602350238521,0.0738428460645192
precision1,assigned_class_medoid,winter_night,dry_bulb_temperature,class,0.0,15,0.0626835160172953,0.066483100931563,0.0568156842607917,0.0997937433348965,0.0997937433348965,0.0631637258045133
precision1,assigned_class_medoid,winter_night,dry_bulb_temperature,class,1.0,15,0.0625495382440081,0.0689603300447756,0.0630788215563491,0.1073319454782522,0.1278520779891897,0.0713477293835336
precision1,assigned_class_medoid,winter_night,dry_bulb_temperature,class,2.0,15,0.0733105083134098,0.0872958087007163,0.0632600308396344,0.1729669980591165,0.1729669980591165,0.0771083341772867
precision1,assigned_class_medoid,winter_night,dry_bulb_temperature,class,3.0,15,0.0502728172840523,0.0542208570213322,0.051399818987438,0.0869718492622903,0.0869718492622903,0.052178053183365
precision1,assigned_class_medoid,winter_night,dry_bulb_temperature,class,4.0,15,0.0486590984620218,0.0511132104783682,0.0490757058881979,0.0724379234051663,0.0782126339999882,0.0508080286508189
precision1,assigned_class_medoid,winter_night,dry_bulb_temperature,class,5.0,15,0.0521108044107729,0.056371169209313,0.0576953601146104,0.0774478437283343,0.1190430402049839,0.0582367896845098
precision1,assigned_class_medoid,winter_night,dry_bulb_temperature,class,6.0,15,0.147467062283525,0.1777249887097437,0.1278341702815608,0.4702602350238521,0.4702602350238521,0.1440572615676068
precision1,assigned_class_medoid,winter_night,relative_humidity,citywide_nonmedoid,,105,0.1954170505801329,0.2576023944394596,0.1612536736100834,0.4546916598031081,1.9495690798403629,0.2620327841458912
precision1,assigned_class_medoid,winter_night,relative_humidity,class,0.0,15,0.2095547526079512,0.2392474222401143,0.1612536736100834,0.4250888724144042,0.4250888724144042,0.2099948345948911
precision1,assigned_class_medoid,winter_night,relative_humidity,class,1.0,15,0.2149086111110114,0.253084631873039,0.1983909634004893,0.4546916598031081,0.5508277154983873,0.2601346360073964
precision1,assigned_class_medoid,winter_night,relative_humidity,class,2.0,15,0.2736106594191659,0.3556561513853247,0.1977321050006431,0.7570698527248075,0.7570698527248075,0.292738323858542
precision1,assigned_class_medoid,winter_night,relative_humidity,class,3.0,15,0.1497946835124578,0.1780658250529216,0.1363274177675378,0.3373159517159712,0.3373159517159712,0.157454408824924
precision1,assigned_class_medoid,winter_night,relative_humidity,class,4.0,15,0.1307640517153893,0.1430691243473581,0.125593827570504,0.244265738317413,0.2725708564664826,0.1409895407359943
precision1,assigned_class_medoid,winter_night,relative_humidity,class,5.0,15,0.1554103624309328,0.1785630112836063,0.1638032412118327,0.2866936055150574,0.5206100253882925,0.1862729974690499
precision1,assigned_class_medoid,winter_night,relative_humidity,class,6.0,15,0.6004695377965356,0.7331496491956705,0.5269087054535955,1.9495690798403629,1.9495690798403629,0.5866447475304405
precision1,assigned_four_file,daytime,dry_bulb_temperature,citywide_nonmedoid,,105,0.0499901579814767,0.054102572717654,0.0471081530331192,0.0826087217746528,0.2204551124855229,0.0543998540181996
precision1,assigned_four_file,daytime,dry_bulb_temperature,class,0.0,15,0.0502724314711515,0.0511657175847498,0.0525817476188116,0.0655325914941963,0.0655325914941963,0.0488023151036249
precision1,assigned_four_file,daytime,dry_bulb_temperature,class,1.0,15,0.0342365876664866,0.035656984915591,0.0324424323305931,0.0504997852520412,0.0701108059727974,0.0379544507788314
precision1,assigned_four_file,daytime,dry_bulb_temperature,class,2.0,15,0.0387290182976179,0.0416133202580772,0.0339553830272857,0.0785281265959316,0.0785281265959316,0.0410950039202306
